Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier
2023-09-02,Capex,29125,6695,407287,PO40343,Open,181032,NL01,10001,NL01-15,Supplier A
2023-01-14,Capex,23241,9574,001682,PO41365,Open,181032,NL01,10001,NL01-15,Supplier B
2023-09-25,Capex,79594,9613,309725,PO41365,Open,181032,NL01,10001,NL01-15,Supplier B
2023-02-09,Capex,51371,0194,197173,PO00903,Open,181032,NL01,10001,NL01-15,Supplier C
2023-10-15,Capex,52180,8508,720144,PO87931,Open,181030,NL01,10001,NL01-15,Supplier D
2023-04-17,Capex,33588,0552,084245,PO62233,Open,181032,NL01,10001,NL01-15,Supplier E
2023-04-16,Capex,50265,4804,332495,PO61275,Open,181032,NL01,10001,NL01-15,Supplier F
2023-11-13,Capex,51258,5223,947621,PO42070,Open,181032,NL01,10001,NL01-15,Supplier G
2023-11-22,Capex,36125,2548,271418,PO96365,Open,181030,NL01,10001,NL01-15,Supplier A
2023-03-07,Capex,87167,3135,334607,PO22800,Open,181032,NL01,10001,NL01-15,Supplier B
2023-08-26,Opex,2179,3748,404890,PO31338,Open,621982,NL01,10001,NL01-15,Supplier C
2023-11-28,Opex,1549,9289,345930,PO22800,Open,629239,NL01,10001,NL01-15,Supplier B
2023-07-07,Opex,2323,3367,384643,PO00903,Open,693243,NL01,10001,NL01-15,Supplier C
2023-10-01,Opex,3359,1555,503408,PO87931,Open,654642,NL01,10001,NL01-15,Supplier D
2023-11-24,Opex,2978,1942,944885,PO40343,Open,675848,NL01,10001,NL01-15,Supplier A
2023-07-24,Opex,2345,7633,703489,PO51586,Open,670123,NL01,10001,NL01-15,Supplier D
2023-12-19,Opex,1323,9606,341517,PO61275,Open,604085,NL01,10001,NL01-15,Supplier F
2023-09-01,Opex,2603,3634,106816,PO39628,Open,686819,NL01,10001,NL01-15,Supplier E
2023-05-11,Opex,1455,0626,285219,PO04504,Open,602605,NL01,10001,NL01-15,Supplier F
2023-03-18,Opex,1459,1387,128232,PO41365,Open,662554,NL01,10001,NL01-15,Supplier B
2023-06-21,Opex,2868,1901,241898,PO31338,Open,679568,NL01,10001,NL01-15,Supplier C
2023-07-19,Opex,3255,5473,531725,PO96365,Open,604992,NL01,10001,NL01-15,Supplier A
2023-12-02,Opex,1083,4449,309964,PO41365,Open,629961,NL01,10001,NL01-15,Supplier B
2023-07-15,Opex,1471,0179,032557,PO51586,Open,674433,NL01,10001,NL01-15,Supplier D
2023-04-26,Opex,2910,5190,919252,PO87931,Open,672629,NL01,10001,NL01-15,Supplier D
2023-05-10,Opex,1637,8438,890956,PO87931,Open,655854,NL01,10001,NL01-15,Supplier D
2023-03-20,Opex,3431,5731,606903,PO41365,Open,642733,NL01,10001,NL01-15,Supplier B
2023-01-09,Opex,1264,7141,554215,PO00903,Open,607411,NL01,10001,NL01-15,Supplier C
2023-09-27,Opex,2548,2357,948302,PO41365,Open,650766,NL01,10001,NL01-15,Supplier B
2023-02-27,Opex,3317,3951,093566,PO39628,Open,629673,NL01,10001,NL01-15,Supplier E
2023-08-20,Opex,1400,1310,352796,PO40343,Open,640418,NL01,10001,NL01-15,Supplier A
2023-07-09,Opex,3194,8217,066110,PO40343,Open,631976,NL01,10001,NL01-15,Supplier A
